"Año","Periodo","Parámetro","Consumo de Gasoleo A"
"2019","Julio","Andalucía","33.550022"
"2019","Julio","Aragón","82.80486"
"2019","Julio","Asturias","40.43153"
"2019","Julio","Canarias","58.4037"
"2019","Julio","Cantabria","29.57963"
"2019","Julio","Castilla y León","16.84682"
"2019","Julio","Castilla-La Mancha","12.32404"
"2019","Julio","Cataluña","35.439381"
"2019","Julio","Comunidad Valenciana","20.74558"
"2019","Julio","Extremadura","64.12689"
"2019","Julio","Galicia","13.048888"
"2019","Julio","Islas Baleares","47.90637"
"2019","Julio","La Rioja","14.36073"
"2019","Julio","Madrid","19.365528"
"2019","Julio","Murcia","92.5224"
"2019","Julio","Navarra","55.90296"
"2019","Julio","País Vasco","15.577784"
