"Año","Periodo","Parámetro","Consumo de Gasolina 95"
"2019","Julio","Andalucía","43.459953"
"2019","Julio","Aragón","80.52447"
"2019","Julio","Asturias","51.18735"
"2019","Julio","Canarias","22.721005"
"2019","Julio","Cantabria","36.71169"
"2019","Julio","Castilla y León","15.145399"
"2019","Julio","Castilla-La Mancha","10.865508"
"2019","Julio","Cataluña","49.212751"
"2019","Julio","Comunidad Valenciana","31.298673"
"2019","Julio","Extremadura","54.65706"
"2019","Julio","Galicia","14.143725"
"2019","Julio","Islas Baleares","12.949674"
"2019","Julio","La Rioja","13.29097"
"2019","Julio","Madrid","36.119207"
"2019","Julio","Murcia","76.23476"
"2019","Julio","Navarra","39.78416"
"2019","Julio","País Vasco","11.266953"

