Date,Gasolina_95,Diesel
2022-11-14,854.69,742.09
2022-11-07,856.85,750.33
2022-10-31,853.76,754.11
2022-10-24,852.58,753.54
2022-10-17,856.19,752.89
2022-10-10,850.41,740.84
2022-10-03,841.88,727.13
2022-09-26,832.1,723.17
2022-09-19,836.86,728.62
2022-09-12,841.88,738.53
2022-09-05,846.2,740.51
2022-08-29,759.33,712.73
2022-08-22,756.58,698.97
2022-08-15,758.5,695.69
2022-08-08,762.83,699.75
2022-08-01,771.45,706.7
2022-07-25,775.37,710.72
2022-07-18,783.45,716.29
2022-07-11,788.46,718.93
2022-07-04,794,726.56
2022-06-27,798.02,733.13
2022-06-20,801.71,732.87
2022-06-13,802.75,725.32
2022-06-06,799.93,713.24
2022-05-30,880.58,733.89
2022-05-23,876.02,733.7
2022-05-16,868.92,737.09
2022-05-09,862.64,741.1
2022-05-02,858.24,737.68
2022-04-25,864.67,741.24
2022-04-11,863.5,736.56
2022-04-04,868.49,745.38
2022-03-28,889.83,761.53
2022-03-21,924.56,787.35
2022-03-14,939.41,805.31
2022-03-07,915.32,768.69
2022-02-28,899.48,745.58
2022-02-21,894.79,740.68
2022-02-14,893.33,739.54
2022-02-07,891.59,738.17
2022-01-31,898.84,751.2
2022-01-24,895.32,747.82
2022-01-17,893.5,745.01
2022-01-10,891.79,742.1
2022-01-03,889.04,736.6
2021-12-20,882.71,730.42
2021-12-13,886.64,733.22
2021-12-06,887.44,734.67
2021-11-29,891.34,736.3
2021-11-22,894.37,737.4
2021-11-15,896.76,739.19
2021-11-08,897.29,739.83
2021-11-01,895.07,739.1
2021-10-25,892.94,737.68
2021-10-18,891.98,736.78
2021-10-11,887.98,731.96
2021-10-04,883.23,726.23
2021-09-27,879.04,720.91
2021-09-20,879.04,718.67
2021-09-13,878.84,717.48
2021-09-06,878.05,716.6
2021-08-30,876.28,715.04
2021-08-23,876.47,714.41
2021-08-16,878.57,715.99
2021-08-09,878.78,716.4
2021-08-02,878.6,716.52
2021-07-26,876.52,715.23
2021-07-19,876.65,715.6
2021-07-12,875.61,715.44
2021-07-05,874.99,715.33
2021-06-28,873.28,714.4
